HH_Source_Segregation
1500
1300
1970
3023
2860
2330
1662
2000
1650
1860
2580
1755
1830
1659
2282
3835
2154
2610
3700
1250
1120
4879
258
529
2424
999
3918
937
3600
1512
3070
662
965
4850
3020
3210
3200
2955
1525
1650
1220
3220
3120
1280
1890
1020
1830
2430
2082
7491
3411
3729
4132
1114
1237
1205
1595
1032
718
915
636
1325
1484
2180
2018
3015
1950
1223
1343
1101
1130
1214
976
1601
1017
1261
1178
1975
9871
6669
6684
7605
4835
5928
5048
6090
4910
6376
5372
4960
8265
7375
5238
1110
736
915
645
735
560
630
625
550
815
375
790
546
580
565
1293
1758
1397
1269
1465
1441
1419
1293
1454
1428
1410
1341
1487
1040
1328
1108
1385
1059
1225
1130
1120
1290
745
1175
1220
1035
1275
1150
1130
1210
1108
1070
1112
1080
888
526
434
574
698
635
820
506
1296
652
610
685
596
268
357
164
424
524
192
290
650
660
321
632
562
2227
2230
2390
2690
2916
2290
1790
2086
2306
2215
2186
2032
2305
457
558
287
4973
320
478
331
536
554
382
422
660
655
1650
350
1442
1102
2014
1400
1469
